outcome,matchedBy,chamberName,chamberEmail,chamberPhone,dbId,dbName,dbEmail
ONLY_CHAMBER_HAS_EMAIL,name,"Perris Flowers #3","lucianosantos0513@hotmail.com","(714) 366-9112","cmsll7rwh003ndou9nybozkqt","Perris Flowers #3",
ONLY_CHAMBER_HAS_EMAIL,name,"Baja Pescador Inc.","ChrisPizzitola@gmail.com","(714) 809-8107","cmsll7p6p000gdou9emiavgs7","Baja Pescador Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Chiquito Picoso Kitchen","Chiquitopicosokitchen@gmail.com","(951) 455-4043","cms6q3hsnb9tn62x3r","Chiquito Picoso Kitchen",
ONLY_CHAMBER_HAS_EMAIL,name,"Writers Lane Solutions ","JNJWalter03@gmail.com","(951) 567-0211","cmsll7thf005idou91yy3phuw","Writers Lane Solutions",
ONLY_CHAMBER_HAS_EMAIL,name,"Audio Services LIVE!","audioserviceslive@verizon.net","(951) 818-0341","cmsll7p50000edou9jog6v3mj","Audio Services LIVE!",
ONLY_CHAMBER_HAS_EMAIL,phone,"ABM Alpha LLC dba Fastsigns","70@fastsigns.com","(951) 243-1494","cmsll7otk0002dou9je1tqlmp","Fastsigns",
EMAIL_MISMATCH,name,"Country Kitchen","CountryKitchenmv@gmail.com","(951) 656-0577","cms0s5z2upo4orptz2","Country Kitchen","kristiinefinley@gmail.com/contact/"
ONLY_CHAMBER_HAS_EMAIL,name,"Broadstone Rancho Belago","proseranchobelagomgr@greystar.com","(951) 521-1881","cmsll7pg0000rdou9szjmpp36","Broadstone Rancho Belago",
ONLY_CHAMBER_HAS_EMAIL,name,"ADECCO STAFFING & RECRUITMENT, USA","david.hanlon@adeccona.com","(909) 942-5970","cmsll7ouf0003dou9r182wbz0","ADECCO STAFFING & RECRUITMENT, USA",
EMAIL_MISMATCH,name,"Dough Bowl Pizza","Imran.Shaikh2703@gmail.com","(909) 302-0777","cms6q3wiv96w29gqc2x","Dough Bowl Pizza","kbpizza007@gmail.com"
ONLY_CHAMBER_HAS_EMAIL,phone,"La Sierra Restaurant Group DBA/Pupuseira la Sierra","cesquivel@pupuserialasierra.com","(951) 208-1921","cmsll7qx2002hdou931m4wrgi","Pupuseira la Sierra",
BOTH_NO_EMAIL,name,"Grifols Biomat","","(949) 613-3533","cmsll7qgv001ydou9vvtglpi4","Grifols Biomat",
ONLY_CHAMBER_HAS_EMAIL,name,"MainStay Suites","office@ahirhospitality.com","(951) 247-3434","cmsll7r3s002pdou9e2abq3wl","MainStay Suites",
ONLY_CHAMBER_HAS_EMAIL,name,"A Green Alternative","shop@agastores.com","(951) 518-9333","cmsll7oso0001dou9mxx7826v","A Green Alternative",
ONLY_CHAMBER_HAS_EMAIL,name,"BioLife Plasma Services LP","rafael.ortuno-suarez@takeda.com","(951) 497-4407","cmsll7pbq000mdou91ax5zbro","BioLife Plasma Services LP",
ONLY_CHAMBER_HAS_EMAIL,name,"Pepe's Towing Service","hn@pepestow.com","(951) 653-2423","cmsll7rvm003mdou9goanxri4","Pepe's Towing Service",
ONLY_CHAMBER_HAS_EMAIL,name,"William J Saylor Photography","info@williamjsaylorphotography.com","(949) 836-3856","cmsll7tew005fdou9wr0zx0pk","William J Saylor Photography",
BOTH_NO_EMAIL,name,"Diversified Realty","","(951) 567-3849","cmsll7pxp001cdou9ys56gcfw","Diversified Realty",
ONLY_CHAMBER_HAS_EMAIL,name,"Monarch-A Realty Affiliated with Keller Williams","lauravazquezrealtor@gmail.com","(951) 552-4496","cmsll7rd30030dou9p4k51dyf","Monarch-A Realty Affiliated with Keller Williams",
ONLY_CHAMBER_HAS_EMAIL,name,"Consulto Strategies LLC","consultostrategies@gmail.com","(949) 815-8097","cmsll7pq20013dou9pw8yn4xc","Consulto Strategies LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Pop 'N Flavors","csingleton@treimage.com","(562) 786-0303","cmsll7ry5003pdou9u81epkj0","Pop 'N Flavors",
ONLY_CHAMBER_HAS_EMAIL,name,"Dawn Busters Toastmasters Club 2169","mariela.anguelov@gmail.com","(951) 756-1152","cmsll7pti0017dou97r7mfob7","Dawn Busters Toastmasters Club 2169",
ONLY_CHAMBER_HAS_EMAIL,name,"Buffalo Wild Wings","dmoorhead@grubeinc.com","(951) 653-9464","cmsll7php000tdou90vq7d175","Buffalo Wild Wings",
NOT_IN_DB,," Sisters Esquivel Foundation","info@sistersesquivelfoundation.org","(951) 481-1710",,,
ONLY_CHAMBER_HAS_EMAIL,name,"Baez Boardgames LLC","baezboardgames@gmail.com","(951) 992-8710","cmsll7p5u000fdou9i5bvb37e","Baez Boardgames LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Bonnie Rodriguez Real Estate With Alta Realty Group","rodriguezbonnie128@gmail.com","(949) 516-1877","cmsll7peb000pdou9opjyg6a0","Bonnie Rodriguez Real Estate With Alta Realty Group",
ONLY_CHAMBER_HAS_EMAIL,name,"VIP Healthcare Services LLC dba Verity Healthcare Services LLC","zwadzi@viphealthcareservices.com","(951) 581-4922","cmsll7tcc005cdou9gjgkxnci","VIP Healthcare Services LLC dba Verity Healthcare Services LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Lighthouse Immersive Studios California, Inc","dan.swartz@lighthouseimmersive.com","(248) 602-1880","cmsll7r19002mdou9z4h1a354","Lighthouse Immersive Studios California, Inc",
ONLY_CHAMBER_HAS_EMAIL,name,"Rados Properties","njovanovic@rados.com","(714) 835-4612","cmsll7s64003ydou99olckzap","Rados Properties",
ONLY_CHAMBER_HAS_EMAIL,name,"GameDay Men's Health Moreno Valley","mcale@gamedaymenshealth.com","(951) 596-4266","cmsll7qcp001tdou9jaxqrr5v","GameDay Men's Health Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,name,"Elegant Impressions Bakery","info@elegantimpressionsbakery.com","(951) 616-0614","cmsll7q3e001idou9uagcqiuu","Elegant Impressions Bakery",
ONLY_CHAMBER_HAS_EMAIL,name,"JAR Insurance Services","jarinsuranceinfo@gmail.com","(951) 243-6500","cmsll7qto002ddou932k3fn7u","JAR Insurance Services",
ONLY_CHAMBER_HAS_EMAIL,name,"SmartFlow Strategies, LLC","ursulosandra@gmail.com","(805) 807-7454","cmsll7son004kdou9bwjxp5sd","SmartFlow Strategies, LLC",
EXACT_EMAIL_MATCH,name,"Sola Salons","tladd@solasalons.com","(951) 691-6428","cms0s68biwb6nxgu33a","Sola Salons","tladd@solasalons.com"
ONLY_CHAMBER_HAS_EMAIL,name,"TrueCare","debbi.stanley@truecare.org","(760) 688-4905","cmsll7t6g0055dou97hsqhjlz","TrueCare",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley Dentist","sinadmd7@gmail.com","(951) 242-3441","cmsll7rgf0034dou9xiuw2qm9","Moreno Valley Dentist",
ONLY_CHAMBER_HAS_EMAIL,name,"N Style Entertainment & Rentals","info@allnstyle.com","(888) 495-4332","cmsll7ro1003ddou9i99l154q","N Style Entertainment & Rentals",
ONLY_CHAMBER_HAS_EMAIL,name,"Via Del Lago Apartment Homes ","viamanager@cambercorporation.com","(714) 585-9319","cmsll7tbi005bdou9f3hik0qv","Via Del Lago Apartment Homes",
ONLY_CHAMBER_HAS_EMAIL,name,"Soapbox Laundry Room LLC","hello@soapboxlr.com","(909) 777-7627","cmsll7spi004ldou9gmbu6gqe","Soapbox Laundry Room LLC",
ONLY_CHAMBER_HAS_EMAIL,phone,"Radiant Life","theblessingcentermoval@gmail.com","(951) 242-3079","cmsll7s5a003xdou9j29si90v","Radiant Life Church",
ONLY_CHAMBER_HAS_EMAIL,name,"Pedder Hyundai of Moreno Valley","drewmoon@digitalcliq.com","(951) 596-3050","cms0s6521n27hxxwi27","Pedder Hyundai of Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,phone,"Starbucks","S08944@retail.starbucks.com","(951) 305-3715","cmsll7ss0004odou9y20qes4i","Starbucks Coffee Company",
ONLY_CHAMBER_HAS_EMAIL,name,"Revise Cost Strategies LLC","info@revisecoststrategies.com","(840) 257-3324","cmsll7sad0043dou9tplrzurw","Revise Cost Strategies LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"GEMSI Enterprises LLC","felicia@gemsienterprises.com","(951) 965-9330","cmsll7qed001vdou9g0d1lclu","GEMSI Enterprises LLC",
EXACT_EMAIL_MATCH,name,"LCBBQ","Thespot@lcbbque.com","1-951-208-0515","cms6q3o1b95423p4b21","LC BBQ","thespot@lcbbque.com"
ONLY_CHAMBER_HAS_EMAIL,name,"Balance Barbershop","balancebarbershop25@gmail.com","(951) 208-0469","cmsll7p8d000idou9rq16yqfw","Balance Barbershop",
ONLY_CHAMBER_HAS_EMAIL,name,"SuperStorage","MorenoValley@iNeedSuperStorage.com","(951) 924-1875","cmsll7sxw004vdou9dysqrlcp","SuperStorage",
ONLY_CHAMBER_HAS_EMAIL,name,"Empire Jamaican Restaurant, Empire Caribbean Market","Massive3001@gmail.com","(213) 804-0768","cmsll7q49001jdou9qhlrqofk","Empire Jamaican Restaurant, Empire Caribbean Market",
BOTH_NO_EMAIL,name,"Angie?s Gorgeous Hair Creations","","(310) 709-7331","cmsll7p36000cdou93cdtyu1j","Angie’s Gorgeous Hair Creations",
ONLY_CHAMBER_HAS_EMAIL,name,"R & R Breakfast Spot ","randrbreakfastspot@gmail.com","(951) 455-4088","cms6q3rs1mndgvxqf2g","R & R Breakfast Spot",
ONLY_CHAMBER_HAS_EMAIL,name,"Adriana's Insurance Services ","info@adrianasinsurance.com","1-951-574-4416","cmsll7ov90004dou95ndq6816","Adriana's Insurance Services",
ONLY_CHAMBER_HAS_EMAIL,name,"Law Office of Michael Geller Inc.","msg@mglawinc.com","(951) 248-6455","cmsll7qxw002idou94out1yj6","Law Office of Michael Geller Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Moolah Tax Services","moolahtax25@gmail.com","(951) 208-0288","cmsll7rdw0031dou9lz5fjlnr","Moolah Tax Services",
NOT_IN_DB,,"San Bernardino Community College District","fatimanawaz1223@gmail.com","(951) 594-2998",,,
ONLY_CHAMBER_HAS_EMAIL,name,"Body By Candyfaces Esthetics LLC","candyfacesesthetics@gmail.com","(510) 334-2482","cmsll7pdh000odou98pivnzbc","Body By Candyfaces Esthetics LLC",
BOTH_NO_EMAIL,name,"Consortium For Early Learning Services","","(951) 778-5003","cmsll7pp80012dou9n3ngbr8n","Consortium For Early Learning Services",
ONLY_CHAMBER_HAS_EMAIL,name,"Realty Masters & Associates","George@MoValHomes.com","(951) 379-3760","cmsll7s9j0042dou9lmen7wrt","Realty Masters & Associates",
